,CPU,MRP
0,amd Ryzen 5 3600 with Wraith Stealth Cooler (100-000000031) 3.6 Ghz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹9,800"
1,amd Ryzen 9 5900X 3.7 GHz Upto 4.8 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹34,890"
2,processsor Ultra 3.5 GHz LGA 1150 Intel Core i3 4150 3.5Ghz 4th generation Processor,₹760
3,GIGASTAR 3.4 GHz LGA 1155 Intel i5-3570K For H61 Motherboard 3rd Generation Processor,"₹1,890"
4,Intel i5-12400F 4.4 GHz Upto 4.4 GHz LGA1700 Socket 6 Cores 12 Threads Desktop Processor,"₹13,008"
5,amd Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cores 12 Threads 3 kB L2 16 kB L3 Desktop Processor,"₹12,499"
6,betaohm 3.4 GHz LGA 1155 Intel Core i5 3570 3rd Generation Processor Excellent Performance Processor Processor,"₹1,630"
7,amd Ryzen 5 5600X 3.7 GHz Upto 4.6 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹16,599"
8,GIGASTAR 3.4 GHz LGA 1155 INTEL CORE I5-3570 Processor,"₹1,630"
9,Intel i3-10105F 3.7 GHz Upto 3.7 GHz LGA 1200 Socket 4 Cores 8 Threads Desktop Processor,"₹7,099"
10,amd Ryzen 7 3700X with Wraith Prism & RGB LED Cooler (100-100000071BOX) 3.6 Ghz Upto 4.4 Ghz AM4 Socket 8 Cores 16 Threads 4 MB L2 32 MB L3 Desktop Processor,"₹27,999"
11,amd Ryzen 9 3900XT 3.8 GHz Upto 4.7 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹42,993"
12,Intel Core i3-10100 3.6 GHz Upto 4.3 GHz LGA 1200 Socket 4 Cores 8 Threads 6 MB Smart Cache Desktop Processor,"₹9,599"
13,amd Ryzen 3 3200G with Radeon Vega 8 Graphics (YD3200C5FHBOX) 3.6 Ghz Upto 4 GHz AM4 Socket 4 Cores 4 Threads 2 MB L2 4 MB L3 Desktop Processor,"₹7,916"
14,Intel I5 3570 3.8 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,044"
15,amd Ryzen 5 7600X 4.7 GHz Upto 5.3 GHz AM5 Socket 6 Cores 12 Threads Desktop Processor,"₹23,890"
16,amd Ryzen 7 3800XT 3.9 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹35,349"
17,amd Ryzen 9 5950X 3.4 GHz Upto 4.9 GHz AM4 Socket 16 Cores 32 Threads Desktop Processor,"₹51,890"
18,processsor Ultra 3.4 GHz LGA 1155 Core i3 3240 Processor 3rd generation For H61 Motherboard (refurbished) Processor,₹790
19,Intel i5-13600K 2.6 GHz LGA1700 Socket 6 Cores Desktop Processor,"₹28,900"
20,Intel i5 3570 3.4 GHz Upto 4 GHz LGA 1155 Socket 4 Cores 4 Threads 8 MB Smart Cache Desktop Processor,"₹3,339"
21,betaohm 3.7 GHz LGA 1151 Intel Core i3-6100 6th Generation 3.7 GHz LGA 1151 Socket 2 Cores 4 Threads 3 MB Processor,"₹1,940"
22,Intel i3-12100F 4.3 GHz Upto 4.3 GHz LGA1700 Socket 4 Cores 8 Threads Desktop Processor,"₹8,626"
23,amd Ryzen 7 5700G 3.8 GHz Upto 4.6 GHz AM4 Socket 8 Cores 16 Threads 4 kB L2 16 kB L3 Desktop Processor,"₹18,699"
24,Intel I7 3770 3.9 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹4,790"
25,Intel I7 3770 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹4,495"
26,Intel I7 3770 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹4,949"
27,amd Ryzen 7 5800X 3.8 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹23,499"
28,Intel Core i5-2500K 3.3 GHz Upto 3.7 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,300"
29,amd Ryzen 5 5600 3.5 GHz Upto 4.4 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹15,799"
30,Intel Core i5-3570 3.4 GHz Upto 3.8 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,496"
31,Intel Core i5-4570 (4TH Gen) Quad-Core 6MB Cache 3.2 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹2,397"
32,amd Ryzen 5 5500 3.6 GHz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹11,796"
33,Intel i5 4570 3.3 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹3,148"
34,Intel i7-12700F 4.9 GHz Upto 4.9 GHz LGA1700 Socket 12 Cores 20 Threads Desktop Processor,"₹27,399"
35,Intel I7-11700F 4.9 GHz Upto 4.9 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹26,518"
36,Intel I5 3570 3.8 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,790"
37,Intel Core i3 10th Gen 10100f 3.6 GHz LGA 1200 Socket 4 Cores Desktop Processor,"₹7,940"
38,processsor Ultra 3.1 GHz LGA 1155 Core i3 2nd Generation Support H61 Motherboards Processor,₹466
39,Intel I5-4590(4Th Gen) 6 MB Cache 3.3 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹3,372"
40,amd Ryzen 5 3600 with Wraith Stealth Cooler (100-000000031) 3.6 Ghz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹9,800"
41,amd Ryzen 9 5900X 3.7 GHz Upto 4.8 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹34,890"
42,processsor Ultra 3.5 GHz LGA 1150 Intel Core i3 4150 3.5Ghz 4th generation Processor,₹760
43,GIGASTAR 3.4 GHz LGA 1155 Intel i5-3570K For H61 Motherboard 3rd Generation Processor,"₹1,890"
44,Intel i5-12400F 4.4 GHz Upto 4.4 GHz LGA1700 Socket 6 Cores 12 Threads Desktop Processor,"₹13,008"
45,amd Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cores 12 Threads 3 kB L2 16 kB L3 Desktop Processor,"₹12,499"
46,betaohm 3.4 GHz LGA 1155 Intel Core i5 3570 3rd Generation Processor Excellent Performance Processor Processor,"₹1,630"
47,amd Ryzen 5 5600X 3.7 GHz Upto 4.6 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹16,599"
48,GIGASTAR 3.4 GHz LGA 1155 INTEL CORE I5-3570 Processor,"₹1,630"
49,Intel i3-10105F 3.7 GHz Upto 3.7 GHz LGA 1200 Socket 4 Cores 8 Threads Desktop Processor,"₹7,099"
50,amd Ryzen 7 3700X with Wraith Prism & RGB LED Cooler (100-100000071BOX) 3.6 Ghz Upto 4.4 Ghz AM4 Socket 8 Cores 16 Threads 4 MB L2 32 MB L3 Desktop Processor,"₹27,999"
51,amd Ryzen 9 3900XT 3.8 GHz Upto 4.7 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹42,993"
52,Intel Core i3-10100 3.6 GHz Upto 4.3 GHz LGA 1200 Socket 4 Cores 8 Threads 6 MB Smart Cache Desktop Processor,"₹9,599"
53,amd Ryzen 3 3200G with Radeon Vega 8 Graphics (YD3200C5FHBOX) 3.6 Ghz Upto 4 GHz AM4 Socket 4 Cores 4 Threads 2 MB L2 4 MB L3 Desktop Processor,"₹7,916"
54,Intel I5 3570 3.8 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,044"
55,amd Ryzen 5 7600X 4.7 GHz Upto 5.3 GHz AM5 Socket 6 Cores 12 Threads Desktop Processor,"₹23,890"
56,amd Ryzen 7 3800XT 3.9 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹35,349"
57,amd Ryzen 9 5950X 3.4 GHz Upto 4.9 GHz AM4 Socket 16 Cores 32 Threads Desktop Processor,"₹51,890"
58,processsor Ultra 3.4 GHz LGA 1155 Core i3 3240 Processor 3rd generation For H61 Motherboard (refurbished) Processor,₹790
59,Intel i5-13600K 2.6 GHz LGA1700 Socket 6 Cores Desktop Processor,"₹28,900"
60,Intel i5 3570 3.4 GHz Upto 4 GHz LGA 1155 Socket 4 Cores 4 Threads 8 MB Smart Cache Desktop Processor,"₹3,339"
61,betaohm 3.7 GHz LGA 1151 Intel Core i3-6100 6th Generation 3.7 GHz LGA 1151 Socket 2 Cores 4 Threads 3 MB Processor,"₹1,940"
