,motherBoard,MRP
0,ASRock B450M-HDV Motherboard,"₹5,678"
1,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot Motherboard,"₹2,449"
2,ZEBRONICS H61-i5-4GB-PFAN-COMBO Motherboard,"₹3,799"
3,ZEBRONICS Zeb H61M2 Motherboard with M2 slot LGA 1155 Socket Motherboard,"₹2,299"
4,ASUS PRIME H610M-E D4 Motherboard,"₹8,950"
5,MSI B550M PRO-VDH WIFI Motherboard,"₹12,999"
6,ZEBRONICS Zeb-H61M2 Motherboard,"₹2,299"
7,Ant Value G41MAD3 Motherboard,"₹2,161"
8,ASUS PRIME B550M-A WIFI II Motherboard,"₹13,999"
9,ASUS PRIME A320M-K Motherboard,"₹5,999"
10,ZEBRONICS ZEB-H61 Motherboard,"₹2,299"
11,ASUS Prime-B450M-A-II Motherboard,"₹8,999"
12,ZEBRONICS H61 Motherboard,"₹2,104"
13,ASRock B550M Pro4 Motherboard,"₹9,389"
14,GIGABYTE A520M K Motherboard,"₹5,899"
15,ASUS ROG STRIX Z590-E Gaming Wi-Fi Motherboard,"₹33,517"
16,ASUS ?PRIME H410M-E Motherboard,"₹6,999"
17,"MSI PRO H510M-B Motherboard, Micro-ATX Motherboard","₹5,999"
18,ASUS ?ROG STRIX Z790-H GAMING WIFI Motherboard,"₹35,519"
19,GIGABYTE B550M-DS3H Motherboard,"₹9,800"
20,Frontech FT- H61 with Nvme slot LGA 1155 Socket Motherboard,"₹2,199"
21,ASUS TUF Gaming B550-PLUS Motherboard,"₹15,926"
22,GEONIX GX-H61 DDR3 Motherboard|2.0 USB| LGA 1155 Support Intel 2nd and 3rd Gen CPU DDR3 Motherboard,"₹1,999"
23,ASUS ROG STRIX X670E A GAMING WIFI Motherboard,"₹41,739"
24,MSI B450M PRO-VDH MAX Mini-ATX AM4 Gaming Motherboard,"₹8,899"
25,GIGABYTE B450M DS3H (AMD Ryzen AM4/M.2/HMDI/DVI/USB 3.1/DDR4/Micro ATX) Motherboard,"₹8,190"
26,ASUS TUF Gaming B560M-Plus Motherboard,"₹14,462"
27,LAPCARE h81 Motherboard,"₹3,299"
28,ASRock B560 Steel Legend Motherboard,"₹11,720"
29,MSI MEG Z590 GODLIKE Motherboard,"₹98,999"
30,ASUS ROG STRIX Z590-F Gaming Wi-Fi Motherboard,"₹29,999"
31,ASRock B550 PG Riptide Motherboard,"₹12,179"
32,ASRock Z690 Pro RS Motherboard,"₹17,999"
33,ASUS Prime Z690-A Motherboard,"₹29,950"
34,Raspberry Pi 4-Model B-8GB RAM Motherboard,"₹8,099"
35,MSI PRO H410M-B Motherboard,"₹6,999"
36,Raspberry Pi 3 Model B+ Kit with Adapter Case LAN-HDMI Cable HeatSink SD Card & RPi 3B Plus Motherboard,"₹5,499"
37,ZEBRONICS ZEB-61 MOTHERBOARD Motherboard,"₹2,225"
38,ASUS Prime Z690-P D4 Motherboard,"₹21,499"
39,ASUS ROG Strix Z490-F Gaming Motherboard,"₹25,719"
40,ASRock B450M-HDV Motherboard,"₹5,678"
41,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot Motherboard,"₹2,449"
42,ZEBRONICS H61-i5-4GB-PFAN-COMBO Motherboard,"₹3,799"
43,ZEBRONICS Zeb H61M2 Motherboard with M2 slot LGA 1155 Socket Motherboard,"₹2,299"
44,ASUS PRIME H610M-E D4 Motherboard,"₹8,950"
45,MSI B550M PRO-VDH WIFI Motherboard,"₹12,999"
46,ZEBRONICS Zeb-H61M2 Motherboard,"₹2,299"
47,Ant Value G41MAD3 Motherboard,"₹2,161"
48,ASUS PRIME B550M-A WIFI II Motherboard,"₹13,999"
49,ASUS PRIME A320M-K Motherboard,"₹5,999"
50,ZEBRONICS ZEB-H61 Motherboard,"₹2,299"
51,ASUS Prime-B450M-A-II Motherboard,"₹8,999"
52,ZEBRONICS H61 Motherboard,"₹2,104"
53,ASRock B550M Pro4 Motherboard,"₹9,389"
54,GIGABYTE A520M K Motherboard,"₹5,899"
55,ASUS ROG STRIX Z590-E Gaming Wi-Fi Motherboard,"₹33,517"
56,ASUS ?PRIME H410M-E Motherboard,"₹6,999"
57,"MSI PRO H510M-B Motherboard, Micro-ATX Motherboard","₹5,999"
58,ASUS ?ROG STRIX Z790-H GAMING WIFI Motherboard,"₹35,519"
59,GIGABYTE B550M-DS3H Motherboard,"₹9,800"
60,Frontech FT- H61 with Nvme slot LGA 1155 Socket Motherboard,"₹2,199"
61,ASUS TUF Gaming B550-PLUS Motherboard,"₹15,926"
62,GEONIX GX-H61 DDR3 Motherboard|2.0 USB| LGA 1155 Support Intel 2nd and 3rd Gen CPU DDR3 Motherboard,"₹1,999"
63,ASUS ROG STRIX X670E A GAMING WIFI Motherboard,"₹41,739"
64,MSI B450M PRO-VDH MAX Mini-ATX AM4 Gaming Motherboard,"₹8,899"
65,GIGABYTE B450M DS3H (AMD Ryzen AM4/M.2/HMDI/DVI/USB 3.1/DDR4/Micro ATX) Motherboard,"₹8,190"
66,ASUS TUF Gaming B560M-Plus Motherboard,"₹14,462"
67,LAPCARE h81 Motherboard,"₹3,299"
68,ASRock B560 Steel Legend Motherboard,"₹11,720"
69,MSI MEG Z590 GODLIKE Motherboard,"₹98,999"
70,ASUS ROG STRIX Z590-F Gaming Wi-Fi Motherboard,"₹29,999"
71,ASRock B550 PG Riptide Motherboard,"₹12,179"
72,ASRock Z690 Pro RS Motherboard,"₹17,999"
73,ASUS Prime Z690-A Motherboard,"₹29,950"
74,Raspberry Pi 4-Model B-8GB RAM Motherboard,"₹8,099"
75,MSI PRO H410M-B Motherboard,"₹6,999"
76,Raspberry Pi 3 Model B+ Kit with Adapter Case LAN-HDMI Cable HeatSink SD Card & RPi 3B Plus Motherboard,"₹5,499"
77,ZEBRONICS ZEB-61 MOTHERBOARD Motherboard,"₹2,225"
78,ASUS Prime Z690-P D4 Motherboard,"₹21,499"
79,ASUS ROG Strix Z490-F Gaming Motherboard,"₹25,719"
80,ASRock H610M-HDV/M.2 Motherboard,"₹7,019"
81,ASUS Prime B550M-K Motherboard,"₹10,384"
82,MSI A320M-A PRO AMD AM4 m-ATX DDR4 Motherboard,"₹5,999"
83,GIGABYTE B650M K Motherboard,"₹14,500"
84,GIGABYTE B550 GAMING X Motherboard,"₹12,205"
85,ZEBRONICS ZEB-H61M2 with PCIE M.2 / NVMe Slot (LGA 1155 Socket) Motherboard,"₹2,299"
86,ZEBRONICS ZEB-H310-NVMe Motherboard,"₹4,999"
87,ZEBRONICS Zeb H110-D4 LGA 1151 Socket Motherboard Motherboard,"₹4,337"
88,ZEB ZEBRONICS H61M2 Motherboard,"₹2,049"
89,EXPERTRONICS Consistent CMB G41-II DDR2 (3 Year Warranty) Motherboard,"₹2,038"
90,ASUS TUF-GAMING-B550M-E Motherboard,"₹13,181"
91,GEONIX Geonix_H61 Motherboard,"₹1,790"
92,ZEBRONICS Zeb H110-D4 Motherboard,"₹3,980"
93,ASUS TUF GAMING X670E PLUS Motherboard,"₹32,952"
94,GIGABYTE B450-Aorus Elite V2 Motherboard,"₹10,043"
