,Ram,MRP
0,Hynix ddr3 DDR3 8 GB PC (ddr3 DDR3 8 GB (Dual Channel) PC (ddr3)),₹760
1,"Hynix PC3 12800, DESKTOP PC RAM DDR3 4 GB PC DDR3 RAM (HMT351U6CFR8C-PB , DDR3 1600MHZ , 2RX8)",₹425
2,"HyperX NA DDR3 8 GB (Dual Channel) Laptop, PC (Fury 8GB DDR3 1866MHz CL10 DIMM Desktop Memory (HX318C10F/8))","₹1,285"
3,XPG RAM DDR4 16 GB PC DDR4 (GAMIX D30 DDR4 16GB (1x16GB) 3200MHz U-DIMM Desktop Memory - AX4U3200316G16A-SR30),"₹3,290"
4,ADATA XPG GAMMIX D30 DDR4 8 GB (Single Channel) PC DDR4 (XPG GAMMIX D30 8GB 3200MHZ XMP 2 READY),"₹1,975"
5,XPG GAMMIX D30 3200mhz DDR4 8 GB PC SD RAM (AX4U320038G16A-SR30),"₹1,939"
6,Corsair Vengeance LPX DDR4 16 GB PC (1 x 16GB) 3600MHz C18 Desktop RAM (CMK16GX4M1Z3600C18),"₹3,979"
7,Hynix 1600MHZ DDR3 8 GB (Dual Channel) PC (8GB 2Rx8 PC3L-12800U-11-13-F3),₹780
8,Crucial CT DDR4 8 GB (Single Channel) PC DRAM (CT8G4DFRA266),"₹1,490"
9,Corsair Vengeance RGB RS 8 GB 3200MHz C16 Memory (Black) DDR4 8 GB PC SDRAM (CMG8GX4M1E3200C16),"₹2,845"
10,GEONIX RAM DDR3 8 GB (Dual Channel) PC SD RAM (GX 8GB DDR3 1600 MHZ),₹784
11,Corsair Vengeance LPX DDR4 8 GB PC DDR4 SDRAM (CMK8GX4M1E3200C16 (1 x 8GB) 3200MHz),"₹2,195"
12,Simmtronic Desktop RAM U-DIMM DDR3 8 GB (Single Channel) PC 8GB DDR3L Desktop RAM (8GB Desktop RAM),"₹1,049"
13,Crucial 3200Mhz Ballistix Performance Desktop & Gaming Memory (Black) (No RGB) with 10 Years Warranty DDR4 8 GB (Dual Channel) PC DRAM family - Ballistix (BL8G32C16U4B),"₹2,071"
14,Hynix 2 DDR2 2 GB (Dual Channel) PC (HYMD2GB),₹395
15,Corsair Vengeance RGB RS 16 GB 3200MHz C16 Memory (Black) DDR4 16 GB PC SDRAM (CMG16GX4M1E3200C16),"₹4,270"
16,Corsair VENGEANCE LPX DDR4 8 GB PC (8GBx1) 3200MHz CL16 Desktop RAM (CMK8GX4M1E3200C16),"₹1,999"
17,"Hynix DDR3 1333Mhz Desktop RAM DDR3 2 GB (Single Channel) PC (HMT325U6BFR8C-H9 , PC3 10600U)",₹308
